id,brand_id,name,category,subcategory,size
413,104,Meadow Baby Co Diapers,Baby Care,Diapers,Small Pack
414,104,Meadow Baby Co Wipes,Baby Care,Wipes,Medium Pack
415,104,Meadow Baby Co Baby Wash,Baby Care,Baby Wash,Jumbo Pack
416,104,Meadow Baby Co Baby Food,Baby Care,Baby Food,Value Pack
417,105,Silver Baby Essentials Diapers,Baby Care,Diapers,Small Pack
418,105,Silver Baby Essentials Wipes,Baby Care,Wipes,Medium Pack
419,105,Silver Baby Essentials Baby Wash,Baby Care,Baby Wash,Jumbo Pack
420,105,Silver Baby Essentials Baby Food,Baby Care,Baby Food,Value Pack
421,106,Vivid Little Ones Diapers,Baby Care,Diapers,Small Pack
422,106,Vivid Little Ones Wipes,Baby Care,Wipes,Medium Pack
423,106,Vivid Little Ones Baby Wash,Baby Care,Baby Wash,Jumbo Pack
424,106,Vivid Little Ones Baby Food,Baby Care,Baby Food,Value Pack
425,107,Spring Tiny Care Diapers,Baby Care,Diapers,Small Pack
426,107,Spring Tiny Care Wipes,Baby Care,Wipes,Medium Pack
427,107,Spring Tiny Care Baby Wash,Baby Care,Baby Wash,Jumbo Pack
428,107,Spring Tiny Care Baby Food,Baby Care,Baby Food,Value Pack
429,108,Crunch Baby Co Diapers,Baby Care,Diapers,Small Pack
430,108,Crunch Baby Co Wipes,Baby Care,Wipes,Medium Pack
431,108,Crunch Baby Co Baby Wash,Baby Care,Baby Wash,Jumbo Pack
432,108,Crunch Baby Co Baby Food,Baby Care,Baby Food,Value Pack
433,109,Silver Little Ones Diapers,Baby Care,Diapers,Small Pack
434,109,Silver Little Ones Wipes,Baby Care,Wipes,Medium Pack
435,109,Silver Little Ones Baby Wash,Baby Care,Baby Wash,Jumbo Pack
436,109,Silver Little Ones Baby Food,Baby Care,Baby Food,Value Pack
437,110,Meadow Tiny Care Diapers,Baby Care,Diapers,Small Pack
438,110,Meadow Tiny Care Wipes,Baby Care,Wipes,Medium Pack
439,110,Meadow Tiny Care Baby Wash,Baby Care,Baby Wash,Jumbo Pack
440,110,Meadow Tiny Care Baby Food,Baby Care,Baby Food,Value Pack
